26.79,,,,,,
28.83,,,,,,
45.42,,,,,,
29.86,,,,,,
24.46,,,,,,
24.3,,,,,,
24.49,,,,,,
40.1,,,,,,
28.95,,,,,,
24.92,,,,,,
43.43,,,,,,
23.22,,,,,,
23.32,,,,,,
23.12,,,,,,
23.19,,,,,,
23.38,,,,,,
28.88,,,,,,
24.23,,,,,,
23.25,,,,,,
23.19,,,,,,
43.75,,,,,,
24.9,,,,,,
24.33,,,,,,
26.64,,,,,,
26.71,,,,,,
23.42,,,,,,
23.56,,,,,,
23.42,,,,,,
23.19,,,,,,
23.8,,,,,,
23.29,,,,,,
23.36,,,,,,
36.3,,,,,,
24.32,,,,,,
30.74,,,,,,
23.11,,,,,,
23.38,,,,,,
23.36,,,,,,
23.1,,,,,,
23.09,,,,,,
23.47,,,,,,
24.32,,,,,,
24.42,,,,,,
23.52,,,,,,
25.65,,,,,,
38.3,,,,,,
23.99,,,,,,
42.23,,,,,,
23.73,,,,,,
22.96,,,,,,
25.11,,,,,,
23.26,,,,,,
23.5,,,,,,
22.9,,,,,,
23.41,,,,,,
23.17,,,,,,
28.07,,,,,,
23.7,,,,,,
23.1,,,,,,
25.81,,,,,,
23.06,,,,,,
23.14,,,,,,
22.88,,,,,,
23.69,,,,,,
23.85,,,,,,
26.89,,,,,,
23.82,,,,,,
23.78,,,,,,
23.28,,,,,,
23.44,,,,,,
22.89,,,,,,
23.35,,,,,,
27.89,,,,,,
26.39,,,,,,
23.77,,,,,,
23.05,,,,,,
23.33,,,,,,
23.13,,,,,,
22.89,,,,,,
23.07,,,,,,
23.14,,,,,,
23.19,,,,,,
25.66,,,,,,
25.37,,,,,,
23.74,,,,,,
23.4,,,,,,
23.39,,,,,,
41.04,,,,,,
23.23,,,,,,
25.13,,,,,,
33.48,,,,,,
24.53,,,,,,
23.31,,,,,,
23.38,,,,,,
22.99,,,,,,
23.33,,,,,,
23.26,,,,,,
23.35,,,,,,
33.31,,,,0.818020833,0.818020833,1.032420067
23.77,,,,1.636041667,3.272083333,4.129680269
,,,98.1625,60,30,23.77
,,,1,2,4,8 (4 cores)
